unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;05011;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05012;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05013;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05014;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05015;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05016;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05017;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05018;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05020;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05021;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05022;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05023;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05024;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05025;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05026;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05028;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05029;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05030;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05031;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;05032;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
